"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $458.62/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","Method","PrivateNote"
"0x86e00452e4afd9a4171087ff4c31f68859bc93c7338357c1e755f3abfdce364f","13613717","1639924028","2021-12-19 14:27:08","0xc9428233647eb89bf835d94c6b78b742337a2469","0x3b4811975ba59f4bbf0bbf1d7e791f06b11e1140","","0.01193062","0","5.4716209444","0.000105","0.0481551","530.01","","","Transfer",""
"0x9d12f5abf0ca12a2e548fed53d83a3a8759ba9275b16917ac04138ea843225d8","13613793","1639924256","2021-12-19 14:30:56","0xc9428233647eb89bf835d94c6b78b742337a2469","0x3b4811975ba59f4bbf0bbf1d7e791f06b11e1140","","0.07711732","0","35.3675452984","0.000105","0.0481551","530.01","","","Transfer",""
"0xa00a09adf8f62b24f41092919a6f27f89c77b11f9331414de39442563441395e","13618015","1639936922","2021-12-19 18:02:02","0x942f9ce5d9a33a82f88d233aeb3292e680230348","0x3b4811975ba59f4bbf0bbf1d7e791f06b11e1140","","0","0","0","0.000387400642863258","0.177669682829947","530.01","","","0x6171d1c9",""
"0x5cf24bb40c293e3c961598801baa8ec0fc0c8682524928ddf50aa881edc562dc","13620740","1639945114","2021-12-19 20:18:34","0x942f9ce5d9a33a82f88d233aeb3292e680230348","0x3b4811975ba59f4bbf0bbf1d7e791f06b11e1140","","0","0","0","0.00048238896873076","0.221233228839301","530.01","","","0x6171d1c9",""
"0x0b2f401ee17849eb9aa690c4321cd12c64916e0d30eb1f8d540a17daea11ff17","13631197","1639976486","2021-12-20 05:01:26","0xc9428233647eb89bf835d94c6b78b742337a2469","0x3b4811975ba59f4bbf0bbf1d7e791f06b11e1140","","0.15125893235719277","0","69.3703715576557","0.00010906","0.0500170972","523.85","","","Transfer",""
"0xc36ef0263c29ffcb24f47ec27d7f081f081553d9ddc038f358d315b116d4057a","13717721","1640238554","2021-12-23 05:49:14","0x942f9ce5d9a33a82f88d233aeb3292e680230348","0x3b4811975ba59f4bbf0bbf1d7e791f06b11e1140","","0","0","0","0.00041411","0.1899191282","548.95","","","0x6171d1c9",""
"0xc15b074293d25ccf5ca18891a224b8f419707779ecbc9aa4bad35f272e91f2e8","13718854","1640241953","2021-12-23 06:45:53","0x942f9ce5d9a33a82f88d233aeb3292e680230348","0x3b4811975ba59f4bbf0bbf1d7e791f06b11e1140","","0","0","0","0.000473817515095154","0.21730218877294","548.95","","","0x6171d1c9",""
"0xb1e129929afe9a42dd2253d89991099e9309c2e677f603de3a62c0476ce5f907","13957147","1640957614","2021-12-31 13:33:34","0x942f9ce5d9a33a82f88d233aeb3292e680230348","0x3b4811975ba59f4bbf0bbf1d7e791f06b11e1140","","0","0","0","0.000280805","0.1287827891","511.71","","","0x6171d1c9",""
"0xfa08848669cfffd155e13b32ac95b618cb5274d421e3b9bae6fd1b5307b18a2b","13958777","1640962504","2021-12-31 14:55:04","0x942f9ce5d9a33a82f88d233aeb3292e680230348","0x3b4811975ba59f4bbf0bbf1d7e791f06b11e1140","","0","0","0","0.000327388790306424","0.150147047010332","511.71","","","0x6171d1c9",""
